file_name,point1_row,point1_col,point2_row,point2_col,point3_row,point3_col,point4_row,point4_col,point5_row,point5_col,point6_row,point6_col,point7_row,point7_col,point8_row,point8_col
Data\Test Images\104.jpg,358,527,350,1502,333,2494,1069,2693,2260,2966,2276,1519,2309,97,1143,361
Data\Test Images\108.jpg,589,560,573,1403,581,2263,1267,2395,2218,2594,2218,1411,2235,237,1276,394
Data\Test Images\12.jpg,341,543,292,1486,275,2445,1028,2643,2111,2908,2144,1560,2169,262,1102,427
Data\Test Images\16.jpg,606,973,672,1800,738,2734,1267,2825,2144,2974,1929,1436,1730,80,1052,659
Data\Test Images\20.jpg,598,634,589,1486,606,2370,1044,2594,1797,2949,1788,1535,1797,55,1019,411
Data\Test Images\24.jpg,358,328,275,1345,201,2362,1036,2594,2127,2941,2268,1618,2400,188,1218,254
Data\Test Images\28.jpg,209,469,159,1436,143,2370,837,2643,1846,2991,1937,1684,2028,278,953,378
Data\Test Images\32.jpg,639,560,656,1527,647,2437,1185,2693,2078,3040,2136,1626,2177,30,1218,386
Data\Test Images\36.jpg,556,634,556,1469,548,2329,1011,2527,1780,2833,1805,1461,1813,121,1036,436
Data\Test Images\40.jpg,540,551,498,1420,457,2279,995,2503,1863,2825,1912,1560,1995,229,1085,436
Data\Test Images\44.jpg,589,345,573,1320,507,2188,1085,2519,1995,2999,2127,1601,2276,72,1259,237
Data\Test Images\48.jpg,622,527,656,1411,656,2296,1176,2527,2003,2924,2061,1527,2111,30,1218,320
Data\Test Images\52.jpg,755,452,738,1320,713,2230,1251,2470,2152,2891,2260,1544,2342,105,1350,303
Data\Test Images\56.jpg,565,493,589,1411,589,2312,1119,2561,2012,3024,2078,1626,2111,80,1127,345
Data\Test Images\60.jpg,581,402,565,1337,540,2197,1036,2511,1838,2982,1945,1659,2119,196,1168,336
Data\Test Images\64.jpg,358,361,308,1345,275,2279,829,2569,1681,3024,1846,1659,1995,97,1135,229
Data\Test Images\68.jpg,341,436,308,1436,283,2387,1019,2652,2111,2991,2193,1610,2260,179,1119,312
Data\Test Images\72.jpg,664,493,672,1469,672,2362,1243,2618,2160,3024,2243,1601,2326,63,1317,353
Data\Test Images\76.jpg,523,527,498,1420,449,2346,1003,2585,1954,2966,2045,1494,2094,63,1152,312
Data\Test Images\80.jpg,449,576,457,1477,424,2329,970,2602,1797,2982,1863,1668,1912,245,1003,436
Data\Test Images\84.jpg,449,477,441,1395,432,2271,953,2511,1797,2883,1830,1502,1888,80,1003,328
Data\Test Images\88.jpg,374,361,333,1304,325,2213,879,2511,1763,2941,1888,1535,1995,22,970,212
Data\Test Images\92.jpg,374,535,341,1477,317,2395,887,2660,1788,3032,1854,1577,1921,97,937,378
Data\Test Images\96.jpg,482,510,457,1461,457,2346,1019,2618,1912,2982,1978,1643,2053,179,1094,402
Data\Test Images\4.jpg,474,328,399,1271,341,2114,970,2461,1821,2924,2028,1709,2268,361,1209,328
Data\Test Images\8.jpg,441,535,441,1477,424,2437,1201,2569,2317,2751,2293,1386,2268,97,1176,361
Data\Test Images\0c09b79cff39932c59ecc745dd827906.jpg,112,367,126,1054,126,1721,633,1864,1333,2053,1356,1146,1374,179,642,298
Data\Test Images\0f4512d71c096f2699d705792e88fc58.jpg,108,363,126,1049,126,1721,642,1855,1342,2053,1351,1132,1369,183,642,285
Data\Test Images\05de676d5078dc0a13796f3f627993ef.jpg,126,395,135,1086,131,1749,651,1887,1342,2076,1360,1164,1360,211,647,312
Data\Test Images\0115e4df73475b550e5c6f7a88b2474f.jpg,126,395,131,1086,131,1758,642,1887,1342,2071,1369,1159,1379,206,642,312
Data\Test Images\13106bbc80a01cc413c2ab5052d2ec25.jpg,112,363,122,1058,126,1726,642,1855,1333,2048,1351,1132,1360,174,642,285
Data\Test Images\112.jpg,611,856,699,1661,776,2511,1328,2511,2134,2500,1968,1297,1792,204,1074,602
Data\Test Images\114.jpg,864,635,875,1529,898,2445,1648,2534,2642,2655,2631,1474,2598,315,1626,502
Data\Test Images\116.jpg,2233,436,2222,1043,2211,1628,2730,1706,3403,1794,3448,1065,3470,271,2774,359
Data\Test Images\119.jpg,511,933,456,1507,390,2070,887,2169,1438,2280,1505,1639,1571,1010,1019,955
Data\Test Images\125.jpg,1196,1076,1251,1661,1284,2269,1781,2291,2421,2302,2355,1584,2277,867,1714,988
Data\Test Images\128.jpg,1140,602,1140,1529,1140,2235,1935,2269,2719,2313,2896,1661,3138,811,2189,712
Data\Test Images\130.jpg,600,1397,688,1882,743,2390,1273,2346,1615,2313,1527,1750,1438,1176,986,1275
Data\Test Images\139.jpg,1505,646,1483,1374,1450,2092,1869,2291,2509,2567,2575,1474,2631,348,1957,535
Data\Test Images\146.jpg,644,756,732,1695,820,2655,1759,2633,2840,2578,2697,1463,2564,403,1538,591
