epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.926,1.36264,2.29124,1.11505,0.1715,0.78448,0.19339,0.1181,1.41053,38.0984,1.16819,0.00056,0.00056,0.00056
2,42.7909,1.15665,0.91688,1.06354,0.01155,0.02586,0.00114,0.00046,2.38475,54.0598,7.8211,0.00113487,0.00113487,0.00113487
3,205.634,1.23205,1.15132,1.12359,0.00019,0.00862,9e-05,4e-05,2.73177,3316.56,26.0193,0.00170452,0.00170452,0.00170452
4,488.922,1.28699,1.07238,1.13957,0.00595,0.26724,0.00377,0.00162,nan,nan,nan,0.001973,0.001973,0.001973
5,577.519,1.25525,0.93659,1.15055,0.00116,0.12931,0.00054,0.00017,3.81837,inf,112.764,0.001964,0.001964,0.001964
6,687.892,1.17383,0.77911,1.13065,0.14291,0.89655,0.14212,0.1009,1.22422,35.0034,1.21219,0.001955,0.001955,0.001955
7,911.011,1.12941,0.7838,1.05602,0.204,0.84483,0.21044,0.15082,1.1453,15.3313,1.13883,0.001946,0.001946,0.001946
8,1240.56,1.16316,0.82354,1.11018,0.20384,0.92241,0.227,0.15715,1.28897,30.1133,1.19687,0.001937,0.001937,0.001937
9,1596.43,1.0875,0.82033,1.06352,0.19828,0.99138,0.21817,0.15893,0.9493,27.367,1.03964,0.001928,0.001928,0.001928
10,1936.65,1.08862,0.8403,1.08196,0.19894,1,0.21143,0.15622,1.01003,16.4099,1.04794,0.001919,0.001919,0.001919
11,2287.59,1.02498,0.68062,1.01849,0.20054,1,0.21903,0.16357,0.94487,23.9698,1.02562,0.00191,0.00191,0.00191
12,2556.27,1.0626,0.77966,1.05872,0.20067,1,0.23312,0.17564,1.03601,20.0434,1.05874,0.001901,0.001901,0.001901
13,2814.37,1.05122,0.73003,1.06112,0.2028,0.97414,0.22852,0.16844,1.02368,17.5674,1.04306,0.001892,0.001892,0.001892
14,3050.61,1.0458,0.69694,1.04307,0.20295,0.98276,0.21911,0.15706,1.16662,21.3756,1.12671,0.001883,0.001883,0.001883
15,3290.19,1.03503,0.6923,1.03659,0.20051,1,0.21964,0.16756,1.02409,25.6285,1.04771,0.001874,0.001874,0.001874
16,3374.21,0.99288,0.69563,1.02009,0.20028,1,0.22233,0.16729,1.01635,14.1293,1.04593,0.001865,0.001865,0.001865
17,3580.31,0.9969,0.69188,1.01752,0.1998,1,0.21906,0.16815,1.04324,23.412,1.0506,0.001856,0.001856,0.001856
18,3696.4,0.99819,0.70729,1.02042,0.20013,1,0.21032,0.15518,0.97144,19.5891,1.04117,0.001847,0.001847,0.001847
19,3740.16,0.97397,0.73407,1.00152,0.20003,1,0.21442,0.16461,0.94612,18.4841,1.01049,0.001838,0.001838,0.001838
20,3860.44,0.99832,0.68132,1.01013,0.19998,1,0.20476,0.15383,0.86782,17.3163,0.98773,0.001829,0.001829,0.001829
21,4000.07,0.98738,0.70206,0.99342,0.20015,1,0.21271,0.15538,1.03661,14.9586,1.03597,0.00182,0.00182,0.00182
22,4268.14,0.96321,0.68514,0.99525,0.19998,1,0.23102,0.17385,0.96056,16.4754,1.01855,0.001811,0.001811,0.001811
23,4460.36,0.96312,0.71122,1.01438,0.20069,0.98276,0.23591,0.18222,0.95426,15.314,1.01467,0.001802,0.001802,0.001802
24,4809.64,0.95487,0.7095,1.01335,0.20276,1,0.23157,0.17909,0.89775,18.6051,0.99934,0.001793,0.001793,0.001793
25,5017.14,0.96349,0.64151,0.99702,0.2072,0.97414,0.24074,0.18404,1.04106,22.0885,1.05088,0.001784,0.001784,0.001784
26,5156.18,0.9588,0.72881,1.01219,0.20147,1,0.21888,0.17213,0.93631,11.8546,1.01088,0.001775,0.001775,0.001775
27,5329.99,0.95657,0.76345,0.99205,0.19924,1,0.22196,0.16892,0.98899,14.9875,1.02269,0.001766,0.001766,0.001766
28,5425.9,0.9642,0.63053,0.98535,0.22196,0.62931,0.15948,0.12524,1.20646,12.202,1.1528,0.001757,0.001757,0.001757
29,5557.13,0.91375,0.66633,0.97923,0.19695,0.58621,0.15438,0.12189,1.06491,9.33712,1.0938,0.001748,0.001748,0.001748
30,5650.73,0.99245,0.70763,1.00892,0.20038,0.85345,0.23559,0.16077,1.03622,14.474,1.08446,0.001739,0.001739,0.001739
31,5844.97,1.00766,0.63963,1.03186,0.20024,1,0.22093,0.17502,1.02923,20.8901,1.03634,0.00173,0.00173,0.00173
32,5933.73,0.98553,0.63047,1.00986,0.20026,1,0.23063,0.18193,1.05317,22.7011,1.05959,0.001721,0.001721,0.001721
33,6038.73,0.98894,0.66547,1.02631,0.2006,0.99138,0.22493,0.17829,1.12118,20.6968,1.08392,0.001712,0.001712,0.001712
34,6182.36,0.93705,0.62507,1.00391,0.20123,1,0.22164,0.16762,1.17877,18.9746,1.10186,0.001703,0.001703,0.001703
35,6274.67,0.93176,0.70843,0.99466,0.20146,1,0.21942,0.1699,1.00242,16.5495,1.02315,0.001694,0.001694,0.001694
36,6462.07,0.94634,0.64937,0.98248,0.20168,0.99138,0.21821,0.16932,0.99094,16.9631,1.02184,0.001685,0.001685,0.001685
37,6730.06,0.93782,0.60099,1.0051,0.20117,1,0.21155,0.16211,0.962,20.3871,1.00887,0.001676,0.001676,0.001676
38,6820.79,0.94427,0.65518,0.98326,0.20093,1,0.20825,0.1594,0.95348,13.6479,1.0153,0.001667,0.001667,0.001667
39,7082.22,0.93401,0.66486,0.98633,0.20033,1,0.20489,0.15748,0.99294,22.1168,1.02293,0.001658,0.001658,0.001658
40,7172.26,0.91781,0.69723,1.00235,0.20031,1,0.21434,0.16428,1.0212,18.2736,1.03332,0.001649,0.001649,0.001649
41,7293.19,0.94085,0.79046,0.98676,0.20016,1,0.23507,0.18456,1.00745,18.0216,1.03381,0.00164,0.00164,0.00164
42,7483.75,0.89175,0.64644,0.97062,0.20031,1,0.21706,0.16974,1.06325,24.0123,1.05103,0.001631,0.001631,0.001631
43,7631.71,0.89973,0.58798,0.97767,0.2003,1,0.21768,0.17142,1.03209,19.8409,1.03959,0.001622,0.001622,0.001622
44,7925.77,0.87464,0.63538,0.97545,0.20028,1,0.20807,0.16142,0.9812,17.5355,1.00963,0.001613,0.001613,0.001613
45,8020.94,0.92692,0.72382,0.99021,0.20027,1,0.21694,0.16571,1.03339,12.7849,1.0345,0.001604,0.001604,0.001604
46,8255.69,0.88453,0.61175,0.96766,0.20103,1,0.24015,0.1898,0.98089,27.7244,1.01991,0.001595,0.001595,0.001595
47,8444.15,0.93358,0.6205,0.97463,0.20027,1,0.22269,0.18019,0.94545,18.0146,1.00025,0.001586,0.001586,0.001586
48,8607.1,0.88094,0.64889,0.96886,0.19827,1,0.23661,0.18681,0.99784,20.3885,1.03003,0.001577,0.001577,0.001577
49,8803.41,0.92144,0.63175,0.99764,0.20005,1,0.22067,0.1731,1.02076,16.152,1.02588,0.001568,0.001568,0.001568
50,8982.41,0.89723,0.58399,0.97152,0.20023,1,0.22687,0.17818,0.93752,20.7647,1.00022,0.001559,0.001559,0.001559
51,9177.8,0.89111,0.6577,0.96502,0.20023,1,0.21432,0.16846,0.97332,19.1015,1.02134,0.00155,0.00155,0.00155
52,9266.05,0.90205,0.62295,0.96205,0.20028,1,0.21164,0.16586,0.99692,17.4926,1.02374,0.001541,0.001541,0.001541
53,9335.37,0.87929,0.59989,0.96044,0.20025,1,0.21713,0.17146,0.91468,18.8419,0.99959,0.001532,0.001532,0.001532
54,9449.71,0.87748,0.65055,0.96565,0.20026,1,0.22759,0.18631,0.88573,14.4954,0.98215,0.001523,0.001523,0.001523
55,9542.19,0.87063,0.63787,0.9622,0.20028,1,0.2125,0.16405,0.8515,21.1464,0.98482,0.001514,0.001514,0.001514
56,9623.05,0.90105,0.67981,0.98278,0.20031,1,0.22096,0.1765,0.88831,16.565,0.97953,0.001505,0.001505,0.001505
